Year,KKR PE,,Blackstone ,,Carlyle Group (only corporate private equity),,Apollo,
2022,165 billion,https://ir.kkr.com/app/uploads/2023/02/KKR-Q422-Earnings-Release.pdf,289 billion,https://www.blackstone.com/wp-content/uploads/sites/2/2023/01/Blackstone4Q22EarningsPressRelease.pdf,105 billion,https://ir.carlyle.com/static-files/84ee3396-7bc0-4fef-bf18-55288dc6cae1,69.1 billion,https://ir.apollo.com/sec-filings/content/0001858681-23-000007/0001858681-23-000007.pdf
2017,46 billion,https://irpages2.eqs.com/download/companies/kkrinc/Annual%20Reports/2017_10-K_SEC-KKR-1404912-18-5.pdf,106 billion,https://s23.q4cdn.com/714267708/files/doc_events/Blackstone4Q17EarningsPressRelease.pdf,73 billion,https://ir.carlyle.com/static-files/e7933e62-cc7b-4c71-898e-7ca3148c8eb4,72 billion,https://www.sec.gov/Archives/edgar/data/1411494/000141149418000010/apo-1231201710k.htm
